1	если	если	SCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#11.217#11.584
2	честно	честно	ADV	_	Degree=Pos	_	_	_	ass1991m-words#@ass1991m#11.584#11.951
3	у	у	ADP	_	_	_	_	_	ass1991m-words#@ass1991m#11.951#12.318
4	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	ass1991m-words#@ass1991m#12.318#12.685
5	чет	чет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#12.685#13.052
6	в	в	ADP	_	_	_	_	_	ass1991m-words#@ass1991m#13.052#13.419
7	последнее	последний	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	ass1991m-words#@ass1991m#13.419#13.786
8	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	ass1991m-words#@ass1991m#13.786#14.153
9	такой	такой	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	ass1991m-words#@ass1991m#14.153#14.52
10	темп	темп	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	ass1991m-words#@ass1991m#14.52#14.887
11	что	что	PRON	_	Case=Acc	_	_	_	ass1991m-words#@ass1991m#14.887#15.254
12	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	ass1991m-words#@ass1991m#15.254#15.621
13	себе	себя	PRON	_	Case=Dat	_	_	_	ass1991m-words#@ass1991m#15.621#15.988
14	дел	дело	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	ass1991m-words#@ass1991m#15.988#16.355
15	напридумываю	напридумывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#16.355#16.722
16	больше	больше	ADV	_	Degree=Cmp	_	_	_	ass1991m-words#@ass1991m#16.722#17.089
17	чем	что	SCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#17.089#17.456
18	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#17.456#17.823
19	осилить	осилить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	ass1991m-words#@ass1991m#17.823#18.19
20	и	и	PART	_	_	_	_	_	ass1991m-words#@ass1991m#18.19#18.557
21	меня	я	PRON	_	Case=Acc|Number=Sing|Person=1	_	_	_	ass1991m-words#@ass1991m#18.557#18.924
22	банально	банально	ADV	_	Degree=Pos	_	_	_	ass1991m-words#@ass1991m#18.924#19.291
23	не	не	PART	_	_	_	_	_	ass1991m-words#@ass1991m#19.291#19.658
24	хватает	хватать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#19.658#20.025
25	на	на	ADP	_	_	_	_	_	ass1991m-words#@ass1991m#20.025#20.392
26	некоторые	некоторый	DET	_	Case=Acc|Number=Plur	_	_	_	ass1991m-words#@ass1991m#20.392#20.759
27	вещи	вещь	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	ass1991m-words#@ass1991m#20.759#21.126
28	/	/	PUNCT	_	_	_	_	_	ass1991m-words#@ass1991m#21.126#21.493
29	то	то	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	ass1991m-words#@ass1991m#21.493#21.86
30	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#21.86#22.227
31	если	если	SCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#22.227#22.594
32	музыку	музыка	NOUN	_	Animacy=Inan|Case=Dat|Gender=Masc|Number=Sing	_	_	_	ass1991m-words#@ass1991m#22.594#22.961
33	мне	я	PRON	_	Case=Dat|Number=Sing|Person=1	_	_	_	ass1991m-words#@ass1991m#22.961#23.328
34	ещё	еще	ADV	_	Degree=Pos	_	_	_	ass1991m-words#@ass1991m#23.328#23.695
35	/	/	PUNCT	_	_	_	_	_	ass1991m-words#@ass1991m#23.695#24.062
36	/	/	PUNCT	_	_	_	_	_	ass1991m-words#@ass1991m#24.062#24.429
37	аа	а	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	ass1991m-words#@ass1991m#24.429#24.796
38	/	/	PUNCT	_	_	_	_	_	ass1991m-words#@ass1991m#24.796#25.163
39	хватает	хватать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	ass1991m-words#@ass1991m#25.163#25.53
40	интереса	интерес	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	ass1991m-words#@ass1991m#25.53#25.897
41	слушать	слушать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	ass1991m-words#@ass1991m#25.897#26.264
42	и	и	CCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#26.264#26.631
43	внимания	внимание	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	ass1991m-words#@ass1991m#26.631#26.998
44	фильмы	фильм	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	ass1991m-words#@ass1991m#26.998#27.365
45	некоторые	некоторый	DET	_	Case=Nom|Number=Plur	_	_	_	ass1991m-words#@ass1991m#27.365#27.732
46	смотреть	смотреть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	ass1991m-words#@ass1991m#27.732#28.099
47	но	но	CCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#28.099#28.466
48	/	/	PUNCT	_	_	_	_	_	ass1991m-words#@ass1991m#28.466#28.833
49	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	ass1991m-words#@ass1991m#28.833#29.2
50	наверное	наверное	ADV	_	Degree=Pos	_	_	_	ass1991m-words#@ass1991m#29.2#29.567
51	если	если	SCONJ	_	_	_	_	_	ass1991m-words#@ass1991m#29.567#29.934
52	брать	брать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	ass1991m-words#@ass1991m#29.934#30.301
53	сто	сто	NUM	_	Case=Acc	_	_	_	ass1991m-words#@ass1991m#30.301#30.668
54	процентов	процент	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	ass1991m-words#@ass1991m#30.668#31.035
